repetition,index,implementation,workload,policy,passes,file
1,0,blade,graphics-chain,explicit-all-scoped,2,r01__blade__graphics-chain__explicit-all-scoped__p0002.csv
1,1,wgpu,compute-independent,tracked,16,r01__wgpu__compute-independent__tracked__p0016.csv
1,2,wgpu,compute-chain,tracked,8,r01__wgpu__compute-chain__tracked__p0008.csv
1,3,blade,compute-chain,automatic,4,r01__blade__compute-chain__automatic__p0004.csv
1,4,blade,mixed-chain,explicit-all-scoped,32,r01__blade__mixed-chain__explicit-all-scoped__p0032.csv
1,5,blade,graphics-independent,automatic,1,r01__blade__graphics-independent__automatic__p0001.csv
1,6,blade,graphics-chain,automatic,2,r01__blade__graphics-chain__automatic__p0002.csv
1,7,blade,compute-independent,hazard-only,1,r01__blade__compute-independent__hazard-only__p0001.csv
1,8,blade,graphics-chain,hazard-only,16,r01__blade__graphics-chain__hazard-only__p0016.csv
1,9,blade,compute-independent,automatic,1,r01__blade__compute-independent__automatic__p0001.csv
1,10,blade,graphics-independent,automatic-scoped,64,r01__blade__graphics-independent__automatic-scoped__p0064.csv
1,11,blade,graphics-independent,automatic-scoped,2,r01__blade__graphics-independent__automatic-scoped__p0002.csv
1,12,blade,mixed-chain,hazard-only,8,r01__blade__mixed-chain__hazard-only__p0008.csv
1,13,blade,mixed-chain,hazard-only,4,r01__blade__mixed-chain__hazard-only__p0004.csv
1,14,blade,graphics-independent,automatic,2,r01__blade__graphics-independent__automatic__p0002.csv
1,15,blade,graphics-chain,hazard-only-scoped,16,r01__blade__graphics-chain__hazard-only-scoped__p0016.csv
1,16,blade,mixed-independent,explicit-all-scoped,64,r01__blade__mixed-independent__explicit-all-scoped__p0064.csv
1,17,blade,compute-chain,hazard-only-scoped,8,r01__blade__compute-chain__hazard-only-scoped__p0008.csv
1,18,blade,mixed-independent,hazard-only,16,r01__blade__mixed-independent__hazard-only__p0016.csv
1,19,blade,compute-independent,automatic,32,r01__blade__compute-independent__automatic__p0032.csv
1,20,blade,graphics-independent,hazard-only-scoped,1,r01__blade__graphics-independent__hazard-only-scoped__p0001.csv
1,21,blade,graphics-independent,hazard-only-scoped,8,r01__blade__graphics-independent__hazard-only-scoped__p0008.csv
1,22,blade,compute-independent,automatic,16,r01__blade__compute-independent__automatic__p0016.csv
